Розділ,Деталізація,Тип робіт,Статус,Учасники від замовника,Учасники від виконавця,Днів на виконання (робочих),Дата початку план,Дата закінчення план,Дата початку факт,Дата закінчення факт,Облік часу (план),Облік часу (факт),Коментарі,
,,,,,,,,,,,,,,
,,Документування,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Деплоймент,,,,,,,,,,,,
,,Виконання клієнтом,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,_
,,,,,,,,,,,,,,
,,Навчання,Заплановано,,,,,,,,,,,
,,Налаштування,Виконано,,,,,,,,,,,
,,Налаштування,В роботі,,,,,,,,,,,
,,Демонстрація,Виконано,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Навчання,Заплановано,,,,,,,,,,,
,,Налаштування,Виконано,,,,,,,,,,,
,,Документування,Заплановано,,,,,,,,,,,
,,Документування,В роботі,,,,,,,,,,,
,,Демонстрація,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Навчання,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Демонстрація,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Документування,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Навчання,,,,,,,,,,,,
,,Розробка,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Виконання клієнтом,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Навчання,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Розробка,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Моделювання,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Розробка,,,,,,,,,,,,
,,Налаштування,,,,,,,,,,,,
,,Розробка,,,,,,,,,,,,
,,Документування,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Розробка,,,,,,,,,,,,
,,Розробка,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Навчання,,,,,,,,,,,,
,,Виконання клієнтом,,,,,,,,,,,,
,,Виконання клієнтом,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Навчання,,,,,,,,,,,,
,,Деплоймент,,,,,,,,,,,,
,,Виконання клієнтом,,,,,,,,,,,,
,,Виконання клієнтом,,,,,,,,,,,,